
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.11,2,10,0.16022800000000001,0.37855951095719498,,2,12,0.16022800000000001,0.45427141314863401,,1,6,8.0114000000000005E-2,0.227135706574317,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,0,4,0,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.12,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,6,8.0114000000000005E-2,0.227135706574317,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,9,8.0114000000000005E-2,0.34070355986147549,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.13,2,9,0.16022800000000001,0.34070355986147549,,2,12,0.16022800000000001,0.45427141314863401,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,0,4,0,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,5,0,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749
0.14,2,10,0.16022800000000001,0.37855951095719498,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,5,8.0114000000000005E-2,0.18927975547859749,,2,12,0.16022800000000001,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.15,1,9,8.0114000000000005E-2,0.34070355986147549,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,9,10,0.72102600000000006,0.37855951095719498,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,7,8.0114000000000005E-2,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.16,1,9,8.0114000000000005E-2,0.34070355986147549,,2,11,0.16022800000000001,0.41641546205291452,,0,5,0,0.18927975547859749,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,0,4,0,0.151423804382878,,0,10,0,0.37855951095719498,,1,7,8.0114000000000005E-2,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.17,2,10,0.16022800000000001,0.37855951095719498,,2,11,0.16022800000000001,0.41641546205291452,,0,5,0,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,0,4,0,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,6,8.0114000000000005E-2,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.18,2,10,0.16022800000000001,0.37855951095719498,,1,12,8.0114000000000005E-2,0.45427141314863401,,0,5,0,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,0,4,0,0.151423804382878,,0,10,0,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.19,2,9,0.16022800000000001,0.34070355986147549,,2,12,0.16022800000000001,0.45427141314863401,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,0,10,0,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,1,4,8.0114000000000005E-2,0.151423804382878,,0,10,0,0.37855951095719498,,0,7,0,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.20,2,9,0.16022800000000001,0.34070355986147549,,2,11,0.16022800000000001,0.41641546205291452,,0,5,0,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,0,10,0,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,0,10,0,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.21,2,9,0.16022800000000001,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,0,10,0,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.22,2,9,0.16022800000000001,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,6,8.0114000000000005E-2,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.23,2,10,0.16022800000000001,0.37855951095719498,,2,11,0.16022800000000001,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,11,0,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,0,4,0,0.151423804382878,,2,10,0.16022800000000001,0.37855951095719498,,1,7,8.0114000000000005E-2,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.24,2,9,0.16022800000000001,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,2,10,0.16022800000000001,0.37855951095719498,,1,6,8.0114000000000005E-2,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.25,2,9,0.16022800000000001,0.34070355986147549,,2,12,0.16022800000000001,0.45427141314863401,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,12,0,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,11,12,0.88125400000000009,0.45427141314863401,,1,4,8.0114000000000005E-2,0.151423804382878,,2,10,0.16022800000000001,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.26,2,9,0.16022800000000001,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,0,5,0,0.18927975547859749,,0,12,0,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,0,3,0,0.1135678532871585,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.27,1,10,8.0114000000000005E-2,0.37855951095719498,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,12,0,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,0,3,0,0.1135678532871585,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,6,0,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.28,2,9,0.16022800000000001,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,4,8.0114000000000005E-2,0.151423804382878,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,6,8.0114000000000005E-2,0.227135706574317,,5,6,0.40057000000000004,0.227135706574317
0.29,1,9,8.0114000000000005E-2,0.34070355986147549,,2,11,0.16022800000000001,0.41641546205291452,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,11,0,0.41641546205291452,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,3,8.0114000000000005E-2,0.1135678532871585,,0,10,0,0.37855951095719498,,1,7,8.0114000000000005E-2,0.26499165767003652,,6,7,0.480684,0.26499165767003652
0.30,1,10,8.0114000000000005E-2,0.37855951095719498,,1,11,8.0114000000000005E-2,0.41641546205291452,,0,5,0,0.18927975547859749,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,11,0.80114000000000007,0.41641546205291452,,1,3,8.0114000000000005E-2,0.1135678532871585,,0,10,0,0.37855951095719498,,0,8,0,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756
