
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,2,15,0.16022800000000001,0.56783926643579252,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,3,10,0.240342,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,4,0.80114000000000007,0.151423804382878,,0,8,0,0.302847608765756
0.02,1,15,8.0114000000000005E-2,0.56783926643579252,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,0,9,0,0.34070355986147549,,3,10,0.240342,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,4,0.80114000000000007,0.151423804382878,,0,8,0,0.302847608765756
0.03,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,4,0.80114000000000007,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
0.04,1,15,8.0114000000000005E-2,0.56783926643579252,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,4,0.80114000000000007,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
0.05,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,2,14,0.16022800000000001,0.52998331534007304,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,4,0.80114000000000007,0.151423804382878,,0,9,0,0.34070355986147549
0.06,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,2,15,0.16022800000000001,0.56783926643579252,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,0,8,0,0.302847608765756
0.070000,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,2,14,0.16022800000000001,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,4,0.80114000000000007,0.151423804382878,,0,8,0,0.302847608765756
0.08,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,1,15,8.0114000000000005E-2,0.56783926643579252,,2,3,0.16022800000000001,0.1135678532871585,,0,14,0,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,1,8,8.0114000000000005E-2,0.302847608765756
0.09,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,1,15,8.0114000000000005E-2,0.56783926643579252,,2,3,0.16022800000000001,0.1135678532871585,,0,14,0,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,3,10,0.240342,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,1,8,8.0114000000000005E-2,0.302847608765756
0.10,1,15,8.0114000000000005E-2,0.56783926643579252,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,3,10,0.240342,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,1,8,8.0114000000000005E-2,0.302847608765756
0.11,1,15,8.0114000000000005E-2,0.56783926643579252,,1,10,8.0114000000000005E-2,0.37855951095719498,,2,14,0.16022800000000001,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,0,8,0,0.302847608765756
0.12,2,14,0.16022800000000001,0.52998331534007304,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,15,0,0.56783926643579252,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,0,9,0,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,0,9,0,0.34070355986147549
0.13,1,14,8.0114000000000005E-2,0.52998331534007304,,0,10,0,0.37855951095719498,,1,16,8.0114000000000005E-2,0.60569521753151201,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,2,0.80114000000000007,7.5711902191439001E-2,,0,9,0,0.34070355986147549
0.14,1,14,8.0114000000000005E-2,0.52998331534007304,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,16,8.0114000000000005E-2,0.60569521753151201,,3,4,0.240342,0.151423804382878,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,2,8,0.16022800000000001,0.302847608765756
0.15,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,2,14,0.16022800000000001,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,1,8,8.0114000000000005E-2,0.302847608765756
0.16,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,2,14,0.16022800000000001,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,1,9,8.0114000000000005E-2,0.34070355986147549
0.17,1,15,8.0114000000000005E-2,0.56783926643579252,,0,10,0,0.37855951095719498,,2,14,0.16022800000000001,0.52998331534007304,,2,3,0.16022800000000001,0.1135678532871585,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,2,10,0.16022800000000001,0.37855951095719498,,1,10,8.0114000000000005E-2,0.37855951095719498,,10,3,0.80114000000000007,0.1135678532871585,,1,8,8.0114000000000005E-2,0.302847608765756
