
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,9,8.0114000000000005E-2,0.34070355986147549
0.02,2,17,0.16022800000000001,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,6,19,0.480684,0.71926307081867047,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,4,8.0114000000000005E-2,0.151423804382878,,0,8,0,0.302847608765756
0.03,2,17,0.16022800000000001,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,6,19,0.480684,0.71926307081867047,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,4,8.0114000000000005E-2,0.151423804382878,,0,8,0,0.302847608765756
0.04,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,5,8,0.40057000000000004,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,5,8.0114000000000005E-2,0.18927975547859749,,1,8,8.0114000000000005E-2,0.302847608765756
0.05,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,5,8,0.40057000000000004,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,4,8.0114000000000005E-2,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
0.06,0,17,0,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,13,0.16022800000000001,0.49212736424435349,,7,8,0.56079800000000002,0.302847608765756,,3,6,0.240342,0.227135706574317,,3,17,0.240342,0.6435511686272315,,1,4,8.0114000000000005E-2,0.151423804382878,,0,8,0,0.302847608765756
0.070000,2,17,0.16022800000000001,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,5,8,0.40057000000000004,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,13,0.16022800000000001,0.49212736424435349,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,3,16,0.240342,0.60569521753151201,,2,4,0.16022800000000001,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
0.08,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,3,16,0.240342,0.60569521753151201,,2,4,0.16022800000000001,0.151423804382878,,0,8,0,0.302847608765756
0.09,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,2,5,0.16022800000000001,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,5,8.0114000000000005E-2,0.18927975547859749,,0,8,0,0.302847608765756
0.10,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,3,16,0.240342,0.60569521753151201,,2,4,0.16022800000000001,0.151423804382878,,0,8,0,0.302847608765756
0.11,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,5,8,0.40057000000000004,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,17,0.240342,0.6435511686272315,,1,4,8.0114000000000005E-2,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
0.12,0,17,0,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,16,0.240342,0.60569521753151201,,1,4,8.0114000000000005E-2,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
0.13,1,17,8.0114000000000005E-2,0.6435511686272315,,16,17,1.2818240000000001,0.6435511686272315,,4,8,0.32045600000000002,0.302847608765756,,7,20,0.56079800000000002,0.75711902191438996,,2,14,0.16022800000000001,0.52998331534007304,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,3,16,0.240342,0.60569521753151201,,1,4,8.0114000000000005E-2,0.151423804382878,,1,8,8.0114000000000005E-2,0.302847608765756
