
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,4,5,0.32045600000000002,0.18927975547859749,,8,9,0.64091200000000004,0.34070355986147549,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,13,8.0114000000000005E-2,0.49212736424435349,,1,8,8.0114000000000005E-2,0.302847608765756,,2,6,0.16022800000000001,0.227135706574317,,2,7,0.16022800000000001,0.26499165767003652,,1,4,8.0114000000000005E-2,0.151423804382878,,0,12,0,0.45427141314863401,,2,9,0.16022800000000001,0.34070355986147549
0.02,4,5,0.32045600000000002,0.18927975547859749,,7,8,0.56079800000000002,0.302847608765756,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,13,8.0114000000000005E-2,0.49212736424435349,,1,8,8.0114000000000005E-2,0.302847608765756,,1,7,8.0114000000000005E-2,0.26499165767003652,,2,7,0.16022800000000001,0.26499165767003652,,1,4,8.0114000000000005E-2,0.151423804382878,,2,13,0.16022800000000001,0.49212736424435349,,1,8,8.0114000000000005E-2,0.302847608765756
0.03,4,5,0.32045600000000002,0.18927975547859749,,7,8,0.56079800000000002,0.302847608765756,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,0,7,0,0.26499165767003652,,1,7,8.0114000000000005E-2,0.26499165767003652,,1,7,8.0114000000000005E-2,0.26499165767003652,,1,4,8.0114000000000005E-2,0.151423804382878,,1,12,8.0114000000000005E-2,0.45427141314863401,,3,8,0.240342,0.302847608765756
0.04,4,5,0.32045600000000002,0.18927975547859749,,7,8,0.56079800000000002,0.302847608765756,,2,10,0.16022800000000001,0.37855951095719498,,1,13,8.0114000000000005E-2,0.49212736424435349,,1,6,8.0114000000000005E-2,0.227135706574317,,1,6,8.0114000000000005E-2,0.227135706574317,,2,7,0.16022800000000001,0.26499165767003652,,1,4,8.0114000000000005E-2,0.151423804382878,,0,13,0,0.49212736424435349,,2,8,0.16022800000000001,0.302847608765756
0.05,4,5,0.32045600000000002,0.18927975547859749,,7,8,0.56079800000000002,0.302847608765756,,2,10,0.16022800000000001,0.37855951095719498,,0,13,0,0.49212736424435349,,0,7,0,0.26499165767003652,,0,6,0,0.227135706574317,,1,7,8.0114000000000005E-2,0.26499165767003652,,2,4,0.16022800000000001,0.151423804382878,,0,13,0,0.49212736424435349,,2,8,0.16022800000000001,0.302847608765756
0.06,4,5,0.32045600000000002,0.18927975547859749,,7,8,0.56079800000000002,0.302847608765756,,2,10,0.16022800000000001,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304,,0,6,0,0.227135706574317,,0,6,0,0.227135706574317,,2,6,0.16022800000000001,0.227135706574317,,1,4,8.0114000000000005E-2,0.151423804382878,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,8,8.0114000000000005E-2,0.302847608765756
0.070000,4,5,0.32045600000000002,0.18927975547859749,,8,9,0.64091200000000004,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,14,8.0114000000000005E-2,0.52998331534007304,,0,6,0,0.227135706574317,,2,6,0.16022800000000001,0.227135706574317,,2,6,0.16022800000000001,0.227135706574317,,1,4,8.0114000000000005E-2,0.151423804382878,,0,12,0,0.45427141314863401,,2,9,0.16022800000000001,0.34070355986147549
0.08,4,5,0.32045600000000002,0.18927975547859749,,7,8,0.56079800000000002,0.302847608765756,,2,10,0.16022800000000001,0.37855951095719498,,1,13,8.0114000000000005E-2,0.49212736424435349,,1,7,8.0114000000000005E-2,0.26499165767003652,,0,6,0,0.227135706574317,,2,7,0.16022800000000001,0.26499165767003652,,1,3,8.0114000000000005E-2,0.1135678532871585,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,8,8.0114000000000005E-2,0.302847608765756
0.09,5,6,0.40057000000000004,0.227135706574317,,7,8,0.56079800000000002,0.302847608765756,,1,11,8.0114000000000005E-2,0.41641546205291452,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,7,8.0114000000000005E-2,0.26499165767003652,,1,6,8.0114000000000005E-2,0.227135706574317,,2,6,0.16022800000000001,0.227135706574317,,1,3,8.0114000000000005E-2,0.1135678532871585,,1,12,8.0114000000000005E-2,0.45427141314863401,,1,8,8.0114000000000005E-2,0.302847608765756
