
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,3,9,0.240342,0.34070355986147549,,3,13,0.240342,0.49212736424435349,,3,14,0.240342,0.52998331534007304,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,4,12,0.32045600000000002,0.45427141314863401,,3,11,0.240342,0.41641546205291452,,2,12,0.16022800000000001,0.45427141314863401
0.02,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,3,10,0.240342,0.37855951095719498,,3,13,0.240342,0.49212736424435349,,3,13,0.240342,0.49212736424435349,,3,4,0.240342,0.151423804382878,,3,8,0.240342,0.302847608765756,,3,13,0.240342,0.49212736424435349,,3,12,0.240342,0.45427141314863401,,2,13,0.16022800000000001,0.49212736424435349
0.03,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,3,10,0.240342,0.37855951095719498,,3,12,0.240342,0.45427141314863401,,3,13,0.240342,0.49212736424435349,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,4,12,0.32045600000000002,0.45427141314863401,,3,12,0.240342,0.45427141314863401,,3,12,0.240342,0.45427141314863401
0.04,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,3,9,0.240342,0.34070355986147549,,3,12,0.240342,0.45427141314863401,,3,13,0.240342,0.49212736424435349,,3,4,0.240342,0.151423804382878,,2,7,0.16022800000000001,0.26499165767003652,,4,13,0.32045600000000002,0.49212736424435349,,3,12,0.240342,0.45427141314863401,,2,13,0.16022800000000001,0.49212736424435349
0.05,3,12,0.240342,0.45427141314863401,,3,14,0.240342,0.52998331534007304,,3,9,0.240342,0.34070355986147549,,3,12,0.240342,0.45427141314863401,,3,14,0.240342,0.52998331534007304,,2,4,0.16022800000000001,0.151423804382878,,3,8,0.240342,0.302847608765756,,3,12,0.240342,0.45427141314863401,,2,12,0.16022800000000001,0.45427141314863401,,2,13,0.16022800000000001,0.49212736424435349
0.06,3,12,0.240342,0.45427141314863401,,3,16,0.240342,0.60569521753151201,,3,10,0.240342,0.37855951095719498,,2,12,0.16022800000000001,0.45427141314863401,,3,14,0.240342,0.52998331534007304,,3,4,0.240342,0.151423804382878,,3,8,0.240342,0.302847608765756,,3,13,0.240342,0.49212736424435349,,3,11,0.240342,0.41641546205291452,,2,13,0.16022800000000001,0.49212736424435349
0.070000,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,3,10,0.240342,0.37855951095719498,,3,12,0.240342,0.45427141314863401,,3,14,0.240342,0.52998331534007304,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,3,13,0.240342,0.49212736424435349,,2,12,0.16022800000000001,0.45427141314863401,,3,13,0.240342,0.49212736424435349
0.08,3,11,0.240342,0.41641546205291452,,3,15,0.240342,0.56783926643579252,,2,9,0.16022800000000001,0.34070355986147549,,3,12,0.240342,0.45427141314863401,,3,13,0.240342,0.49212736424435349,,3,5,0.240342,0.18927975547859749,,3,8,0.240342,0.302847608765756,,4,12,0.32045600000000002,0.45427141314863401,,3,11,0.240342,0.41641546205291452,,2,12,0.16022800000000001,0.45427141314863401
0.09,2,11,0.16022800000000001,0.41641546205291452,,3,15,0.240342,0.56783926643579252,,2,10,0.16022800000000001,0.37855951095719498,,3,12,0.240342,0.45427141314863401,,3,13,0.240342,0.49212736424435349,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,3,12,0.240342,0.45427141314863401,,3,11,0.240342,0.41641546205291452,,2,13,0.16022800000000001,0.49212736424435349
0.10,2,11,0.16022800000000001,0.41641546205291452,,3,15,0.240342,0.56783926643579252,,2,10,0.16022800000000001,0.37855951095719498,,3,13,0.240342,0.49212736424435349,,3,14,0.240342,0.52998331534007304,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,3,13,0.240342,0.49212736424435349,,3,11,0.240342,0.41641546205291452,,2,12,0.16022800000000001,0.45427141314863401
0.11,4,11,0.32045600000000002,0.41641546205291452,,3,15,0.240342,0.56783926643579252,,3,9,0.240342,0.34070355986147549,,3,12,0.240342,0.45427141314863401,,3,13,0.240342,0.49212736424435349,,3,5,0.240342,0.18927975547859749,,2,8,0.16022800000000001,0.302847608765756,,4,13,0.32045600000000002,0.49212736424435349,,3,12,0.240342,0.45427141314863401,,2,12,0.16022800000000001,0.45427141314863401
0.12,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,2,9,0.16022800000000001,0.34070355986147549,,3,12,0.240342,0.45427141314863401,,3,14,0.240342,0.52998331534007304,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,3,12,0.240342,0.45427141314863401,,3,11,0.240342,0.41641546205291452,,2,13,0.16022800000000001,0.49212736424435349
0.13,3,12,0.240342,0.45427141314863401,,3,15,0.240342,0.56783926643579252,,2,9,0.16022800000000001,0.34070355986147549,,3,12,0.240342,0.45427141314863401,,3,13,0.240342,0.49212736424435349,,3,4,0.240342,0.151423804382878,,2,8,0.16022800000000001,0.302847608765756,,3,12,0.240342,0.45427141314863401,,2,12,0.16022800000000001,0.45427141314863401,,2,13,0.16022800000000001,0.49212736424435349
