
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,11,12,0.88125400000000009,0.45427141314863401,,2,16,0.16022800000000001,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,15,8.0114000000000005E-2,0.56783926643579252,,14,15,1.121596,0.56783926643579252,,1,8,8.0114000000000005E-2,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,1,9,8.0114000000000005E-2,0.34070355986147549
0.02,11,12,0.88125400000000009,0.45427141314863401,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,15,8.0114000000000005E-2,0.56783926643579252,,14,15,1.121596,0.56783926643579252,,1,8,8.0114000000000005E-2,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,2,9,0.16022800000000001,0.34070355986147549
0.03,11,12,0.88125400000000009,0.45427141314863401,,2,16,0.16022800000000001,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,2,15,0.16022800000000001,0.56783926643579252,,14,15,1.121596,0.56783926643579252,,1,8,8.0114000000000005E-2,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,2,9,0.16022800000000001,0.34070355986147549
0.04,11,12,0.88125400000000009,0.45427141314863401,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,0,15,0,0.56783926643579252,,14,15,1.121596,0.56783926643579252,,1,8,8.0114000000000005E-2,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,2,9,0.16022800000000001,0.34070355986147549
0.05,10,11,0.80114000000000007,0.41641546205291452,,2,16,0.16022800000000001,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,2,8,0.16022800000000001,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,1,9,8.0114000000000005E-2,0.34070355986147549
0.06,10,11,0.80114000000000007,0.41641546205291452,,2,16,0.16022800000000001,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,8,8.0114000000000005E-2,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,1,9,8.0114000000000005E-2,0.34070355986147549
0.070000,11,12,0.88125400000000009,0.45427141314863401,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,2,8,0.16022800000000001,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,2,9,0.16022800000000001,0.34070355986147549
0.08,11,12,0.88125400000000009,0.45427141314863401,,2,16,0.16022800000000001,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,0,16,0,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,2,8,0.16022800000000001,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,4,5,0.32045600000000002,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,1,9,8.0114000000000005E-2,0.34070355986147549
0.09,11,12,0.88125400000000009,0.45427141314863401,,2,16,0.16022800000000001,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,1,16,8.0114000000000005E-2,0.60569521753151201,,15,16,1.2017100000000001,0.60569521753151201,,2,8,0.16022800000000001,0.302847608765756,,7,8,0.56079800000000002,0.302847608765756,,3,5,0.240342,0.18927975547859749,,4,5,0.32045600000000002,0.18927975547859749,,1,9,8.0114000000000005E-2,0.34070355986147549
