
,1,,,,,2,,,,,3,,,,,4,,,,,5,,,,,6,,,,,7,,,,,8,,,,,9,,,,,10,,,
,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis,,Vs_vol,Vs_dis,vol,dis
0.01,0,15,0,0.56783926643579252,,1,18,8.0114000000000005E-2,0.68140711972295098,,0,1,0,3.7855951095719501E-2,,0,14,0,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,2,20,0.16022800000000001,0.75711902191438996,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304
0.02,0,14,0,0.52998331534007304,,0,17,0,0.6435511686272315,,0,1,0,3.7855951095719501E-2,,0,14,0,0.52998331534007304,,0,9,0,0.34070355986147549,,0,11,0,0.41641546205291452,,3,20,0.240342,0.75711902191438996,,0,1,0,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304
0.03,0,14,0,0.52998331534007304,,1,17,8.0114000000000005E-2,0.6435511686272315,,0,1,0,3.7855951095719501E-2,,0,14,0,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,2,19,0.16022800000000001,0.71926307081867047,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304
0.04,1,15,8.0114000000000005E-2,0.56783926643579252,,1,18,8.0114000000000005E-2,0.68140711972295098,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,14,8.0114000000000005E-2,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,2,19,0.16022800000000001,0.71926307081867047,,1,2,8.0114000000000005E-2,7.5711902191439001E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304
0.05,0,15,0,0.56783926643579252,,1,18,8.0114000000000005E-2,0.68140711972295098,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,0,14,0,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,2,19,0.16022800000000001,0.71926307081867047,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,15,8.0114000000000005E-2,0.56783926643579252
0.06,2,15,0.16022800000000001,0.56783926643579252,,1,18,8.0114000000000005E-2,0.68140711972295098,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,0,14,0,0.52998331534007304,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,11,0,0.41641546205291452,,2,19,0.16022800000000001,0.71926307081867047,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,15,8.0114000000000005E-2,0.56783926643579252
0.070000,1,15,8.0114000000000005E-2,0.56783926643579252,,1,17,8.0114000000000005E-2,0.6435511686272315,,0,1,0,3.7855951095719501E-2,,0,14,0,0.52998331534007304,,1,9,8.0114000000000005E-2,0.34070355986147549,,1,11,8.0114000000000005E-2,0.41641546205291452,,3,19,0.240342,0.71926307081867047,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304
0.08,1,15,8.0114000000000005E-2,0.56783926643579252,,1,17,8.0114000000000005E-2,0.6435511686272315,,0,0,0,0,,1,14,8.0114000000000005E-2,0.52998331534007304,,0,9,0,0.34070355986147549,,0,11,0,0.41641546205291452,,2,19,0.16022800000000001,0.71926307081867047,,0,1,0,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,14,8.0114000000000005E-2,0.52998331534007304
0.09,1,15,8.0114000000000005E-2,0.56783926643579252,,1,18,8.0114000000000005E-2,0.68140711972295098,,0,1,0,3.7855951095719501E-2,,1,13,8.0114000000000005E-2,0.49212736424435349,,1,10,8.0114000000000005E-2,0.37855951095719498,,0,10,0,0.37855951095719498,,2,19,0.16022800000000001,0.71926307081867047,,1,1,8.0114000000000005E-2,3.7855951095719501E-2,,1,10,8.0114000000000005E-2,0.37855951095719498,,1,15,8.0114000000000005E-2,0.56783926643579252
