epoch,accuracy,loss,val_accuracy,val_loss
0,0.5138888955116272,1.1365770101547241,0.5277777910232544,0.9226858615875244
1,0.6041666865348816,0.8455625772476196,0.75,0.5077688694000244
2,0.7361111044883728,0.5521085262298584,0.8055555820465088,0.4820258915424347
3,0.7986111044883728,0.47611576318740845,0.9444444179534912,0.10640370845794678
4,0.8402777910232544,0.5098339319229126,0.8888888955116272,0.41847673058509827
5,0.8472222089767456,0.41055843234062195,0.9444444179534912,0.14432257413864136
6,0.9097222089767456,0.2910657823085785,0.8611111044883728,0.2633422315120697
7,0.8888888955116272,0.26178279519081116,0.9166666865348816,0.16971081495285034
8,0.9375,0.17563307285308838,1.0,0.022497953847050667
9,0.9097222089767456,0.25768736004829407,0.9722222089767456,0.11291901022195816
10,0.9583333134651184,0.1319684535264969,0.9722222089767456,0.08431847393512726
11,0.9930555820465088,0.030688034370541573,1.0,0.02322559989988804
12,0.9930555820465088,0.02701178938150406,1.0,0.0044689178466796875
13,0.9930555820465088,0.02946956269443035,1.0,0.0044858697801828384
14,0.9791666865348816,0.0942566767334938,0.9722222089767456,0.2578791081905365
15,0.9652777910232544,0.11218023300170898,1.0,0.01900669001042843
16,0.9861111044883728,0.07693969458341599,0.9722222089767456,0.12789207696914673
17,0.9861111044883728,0.03475256264209747,1.0,0.0029554066713899374
18,0.9930555820465088,0.024977222084999084,1.0,0.0010847201338037848
19,0.9583333134651184,0.07411845028400421,1.0,0.0019927024841308594
20,0.9652777910232544,0.11234918981790543,0.9444444179534912,0.11146203428506851
21,0.9791666865348816,0.04058273509144783,0.9722222089767456,0.10102042555809021
22,1.0,0.008728423155844212,0.9722222089767456,0.20075459778308868
23,1.0,0.008418941870331764,0.9722222089767456,0.023050248622894287
24,1.0,0.005130100063979626,1.0,0.004041205160319805
25,1.0,0.003462074091657996,1.0,0.0005923907156102359
26,1.0,0.007867771200835705,1.0,0.001892734318971634
27,0.9791666865348816,0.1485643982887268,0.9166666865348816,0.47106632590293884
28,0.9583333134651184,0.16673217713832855,0.9444444179534912,0.16993112862110138
29,0.9236111044883728,0.3946325480937958,0.8611111044883728,0.4561830759048462
30,0.8541666865348816,0.4672674536705017,0.8333333134651184,0.5417952537536621
31,0.8888888955116272,0.27333202958106995,0.9722222089767456,0.09731937199831009
32,0.9444444179534912,0.15307004749774933,0.9166666865348816,0.1683357059955597
33,0.9861111044883728,0.059548184275627136,1.0,0.0198708176612854
34,0.9791666865348816,0.05598778277635574,0.9722222089767456,0.07322525978088379
